route,module,page_file,client_component,layout,dynamic_parameters,navigation_entry,navigation_label,navigation_roles,frontend_api_calls,backend_endpoint,backend_controller,backend_rbac,prisma_models,status,evidence
/dashboard/artisan,artisan,page.tsx,Unknown,layout.tsx,None,Yes,artisan,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/business,business,page.tsx,Unknown,layout.tsx,None,Yes,business,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/campaigns,campaigns,page.tsx,Unknown,layout.tsx,None,Yes,campaigns,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/career,career,page.tsx,Unknown,layout.tsx,None,Yes,career,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/ccsi,ccsi,page.tsx,Unknown,layout.tsx,None,Yes,ccsi,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/cms,cms,page.tsx,Unknown,layout.tsx,None,Yes,cms,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/collection,collection,page.tsx,Unknown,layout.tsx,None,Yes,collection,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/contact-submissions,contact-submissions,page.tsx,Unknown,layout.tsx,None,Yes,contact-submissions,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/contributor-intake,contributor-intake,page.tsx,Unknown,layout.tsx,None,Yes,contributor-intake,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/crafts,crafts,page.tsx,Unknown,layout.tsx,None,Yes,crafts,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/donations,donations,page.tsx,Unknown,layout.tsx,None,Yes,donations,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Complete path identified,Visual check
/dashboard/glossary,glossary,page.tsx,Unknown,layout.tsx,None,Yes,glossary,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/graph,graph,page.tsx,Unknown,layout.tsx,None,Yes,graph,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/hr,hr,page.tsx,Unknown,layout.tsx,None,Yes,hr,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
/dashboard/institutional-cms,institutional-cms,page.tsx,Unknown,layout.tsx,None,Yes,institutional-cms,ADMIN,Unknown,Unknown,Unknown,Unknown,Unknown,Frontend only,Visual check
